cohort_id	accession	origin_stream	in_old	in_timer	old_cohort_ids	timer_refs	comparison_tracks	track_category	track_category_label	cancer_type	therapy_combination	has_rnr	responders	non_responders	has_pre_post	pre_treatment	post_treatment	stratification_source	notes
prjna482620_unified	PRJNA482620	timer	false	true		timer_active	PRE_RESPONSE	A	PRE_RESPONSE only	Glioblastoma	anti-PD-1	yes	17.0	17.0	no			timer_clinical_track_matrix	
prjna564119_unified	PRJNA564119	old	true	false	gse136961_prjna564119_nsclc_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp070710_unified	SRP070710	old	true	false	srp070710_melanoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp094781_unified	SRP094781	old	true	false	srp094781_melanoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp150548_unified	SRP150548	old	true	false	srp150548_melanoma_pd1;srp150548_melanoma_pd1_ctla4_combo		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp155030_unified	SRP155030	old	true	false	srp155030_glioblastoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp183455_unified	SRP183455	old	true	false	gse126044_srp183455_nsclc_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp217040_unified	SRP217040	old	true	false	gse135222_srp217040_nsclc_pdl1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp230414_unified	SRP230414	old	true	false	srp230414_melanoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp250849_unified	SRP250849	old	true	false	gse145996_srp250849_melanoma_pd1		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp302761_unified	SRP302761	old	true	false	gse165278_srp302761_melanoma_ctla4		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp609012_unified	SRP609012	old	true	false	gse305240_gse305511_gastric_anti_pd1_methylation		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
srp614547_unified	SRP614547	old	true	false	gse306800_srp614547_hnscc_durvalumab_metformin		PRE_RESPONSE	A	PRE_RESPONSE only			assumed_yes			unknown			legacy_default_pre_response	Legacy study: assigned Track A by default; add sample-level timing labels to upgrade to B/C if pre/post evidence exists.
