file_id	case_id	sample_id	modality	workflow	file_name	advertised_bytes	advertised_md5	status
adb302cb-bea8-4623-9c5d-009e696e2df7	f7f9f522-de88-4f9c-8ba4-7be3726faaf8	e71a1971-e1c7-4cd9-ae0a-9458a053042d	450K	SeSAMe Methylation Beta Estimation	ea111fb8-4fe3-4329-a1ea-9aa790bb77e3.methylation_array.sesame.level3betas.txt	13144069	9b56f7eeefee6ca5c1a239ec97ea72da	metadata_candidate_not_QC_eligible
ae037177-0902-4c94-8e3c-632e240d3945	77c4dbb2-eceb-4e0d-bcde-63dc817d5f35	c7c2f2f3-d5f6-4fb8-b02a-79fa39a42756	RNA	STAR - Counts	b71b334c-768e-46f6-bc7e-c95a11f44f03.rna_seq.augmented_star_gene_counts.tsv	4240764	4d981ef035274014c4677af0dac9d911	metadata_candidate_not_QC_eligible
ae535c07-021d-4737-abd8-cc5e3ef04b43	7099597a-b208-45b5-b9e0-11ab40d5e497	afbc74e4-3632-4161-9c70-0ba17c6dc5c0	450K	SeSAMe Methylation Beta Estimation	c35b9016-4a26-4d2b-ad85-1a1e2a0db359.methylation_array.sesame.level3betas.txt	13036385	51c1ca5385e14b299a4de5b81fa9af57	metadata_candidate_not_QC_eligible
ae7275dd-d6c4-4786-b710-35b270d4050f	927fc5e0-2c14-4c20-a49b-f10d8a1175c3	5a1d5fb9-900f-4f73-bead-d67cae987a8a	450K	SeSAMe Methylation Beta Estimation	968f4bf5-5395-4a2d-a34b-e8543743d934.methylation_array.sesame.level3betas.txt	13048097	42c886410a1b743c0c15294eae70bcae	metadata_candidate_not_QC_eligible
ae798e98-44e4-4a6e-b2f1-e00577248a19	44218b35-219c-4ad9-a01e-fde14067c4c0	b49eb906-19c3-4eb7-93f7-1c37bc85ce61	450K	SeSAMe Methylation Beta Estimation	b57a26a8-6fa2-4559-9c21-c2964c569708.methylation_array.sesame.level3betas.txt	13179191	e0f76df01e27727fef3bb51f5f5240a7	metadata_candidate_not_QC_eligible
af2c7fc6-003d-4c41-bba5-95a005699a57	e43a2b72-35c6-4466-9007-ce96caf77ea8	a08a22c9-5b3a-4748-89af-0fae50522f1b	RNA	STAR - Counts	f74d61fe-042f-4cfc-a32b-380389629951.rna_seq.augmented_star_gene_counts.tsv	4240829	e41a5b485cbcff3bfed013b31c63a340	metadata_candidate_not_QC_eligible
af3d5a78-b972-41c7-95a4-392f69fb7d7a	f063ddbb-1668-40df-9ec2-b0a23ca2c389	76c0adae-eef5-459e-a4c9-397d94ebfdcc	450K	SeSAMe Methylation Beta Estimation	e5d651fc-e2b7-47e8-be8c-5f22314356b0.methylation_array.sesame.level3betas.txt	13183500	0329758a96977e81aaecd75cadd9e95b	metadata_candidate_not_QC_eligible
afa5c7c4-02f8-4417-873c-378937f5fbbb	d8faa3a7-6b3f-4e69-8c88-184e41055bd7	dc242475-d2c0-4c6a-b227-f6a21a27179a	RNA	STAR - Counts	9aa5eb7d-1d54-47f6-aeeb-59be4880f004.rna_seq.augmented_star_gene_counts.tsv	4254670	140ea4447340fa927763cbdbb19294c3	metadata_candidate_not_QC_eligible
afdf58d1-5814-4e78-a92e-26fbcc97da32	9536e32d-2707-48d2-a36d-08c521665bb9	cfe0f0e4-d8bf-40ce-99f1-2bf99ceca18b	RNA	STAR - Counts	0a5dab01-33ff-41d1-8842-7b7f18a6efe0.rna_seq.augmented_star_gene_counts.tsv	4219971	96f4226c5a485e5eee3a6156d4b4ba05	metadata_candidate_not_QC_eligible
b06a3383-3a16-4f91-91c4-71cad60dae4b	32d9935a-f5cd-43b3-88bd-09e6e2b9090d	9602a00c-a48d-455e-ab57-0e61414098fe	RNA	STAR - Counts	897e33bc-3862-47bc-8277-a9b1b5371802.rna_seq.augmented_star_gene_counts.tsv	4245425	0ca130d5ecf485bfd517f70aa3326719	metadata_candidate_not_QC_eligible
b06f0f20-d553-4c34-b6c7-6b3081777464	2f0710f4-827b-45b2-9b7e-c27385b481a7	c58243d7-77ea-4806-8298-2e322d5219a3	450K	SeSAMe Methylation Beta Estimation	3290e1e3-261e-4e80-8f82-fdd39e272d6e.methylation_array.sesame.level3betas.txt	13176173	2570b579798d8ad6fa7842d06b892752	metadata_candidate_not_QC_eligible
b080156e-0711-42f5-83c7-a34de25cbba9	ebcba7f2-ce13-4bae-97cd-91a6b1dcd465	7ecb9621-7a1f-4876-9dfb-9b77cc4cb7b4	RNA	STAR - Counts	fe3a5a49-7744-4336-a4b6-0e88f23e21d8.rna_seq.augmented_star_gene_counts.tsv	4233140	15220c8a957b906fb33769b1b0e65227	metadata_candidate_not_QC_eligible
b0a1b626-c44b-4a95-b4a4-383fc63f8649	8ab8c4ba-311e-41d0-85ea-a0245aca1bdd	ea2baaca-c8b1-4c4b-8890-47003f63f9b3	RNA	STAR - Counts	233b6aa7-9d3f-4db0-a900-03f7cf4d0ac4.rna_seq.augmented_star_gene_counts.tsv	4231740	b7c92987759a21776856c723f9351d36	metadata_candidate_not_QC_eligible
b0b5b05d-f782-449d-94cf-8fd74a4bd30c	7099597a-b208-45b5-b9e0-11ab40d5e497	98e01ce5-8af3-4f2c-b5a1-36730a3c806a	RNA	STAR - Counts	146a69db-f304-4dd3-97e2-4d11b6512069.rna_seq.augmented_star_gene_counts.tsv	4206923	f325cd9d860c3a44c00a9224028439db	metadata_candidate_not_QC_eligible
